task_2_clarification,task_3_perception_q,task_1_oidx_from_user,task_1_correct_goal,task_3_f1,task_2_synonym,task_1_correct_patient,incomplete_logfile,task_1_f1,task_2_perception_ex,task_3_perception_ex,task_1_perception_yn,task_1_correct_action,task_2_f1,task_3_correct_source,warning_found_in_logfile,task_2_correct_action,task_1_correct,task_3_clarification,task_2_oidx_from_user,pickle_exists,task_2_perception_yn,task_3_synonym,understood,log_exists,use_navigation,task_1_clarification,task_3_correct_goal,object_qs,task_3_str_from_user,task_2_str_from_user,task_3_correct,task_1_synonym,task_2_correct_patient,uid,task_2_correct,task_3_correct_recipient,task_3_correct_patient,task_2_perception_q,worker_id,task_1_perception_q,task_2_correct_source,task_3_oidx_from_user,tasks_easy,task_1_perception_ex,use_delivery,task_1_enum_from_user,frustrated,task_2_correct_goal,task_3_enum_from_user,task_2_correct_recipient,task_1_correct_recipient,task_3_correct_action,error_found_in_logfile,task_1_str_from_user,task_3_perception_yn,task_1_correct_source,task_2_enum_from_user,use_relocation
0,0,0,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,0,1,0,6,-2,0,0,0,-2,0,-2,5c141503594ae,-2,-2,-2,0,A1L3937MY09J3I,0,-2,0,5,0,,1,6,-2,0,-2,0,-2,0,5,0,0,0,
0,0,0,-2,0,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,8,0,1,0,0,1,1,,0,0,1,7,0,0,0,-2,5c143099194c0,-2,0,0,0,A3ZWMVK6GNTJ8,0,-2,3,1,0,,0,1,-2,1,-2,-2,0,0,0,0,-2,0,1
0,0,0,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,1,1,3,9,-2,3,0,0,-2,0,-2,5c143b075c467,-2,-2,-2,0,A3NMQ3019X6YE0,0,-2,0,5,0,,1,4,-2,0,-2,0,-2,0,8,0,0,0,
12,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.666666666667,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,4,0,12,-2,0,0,5c1437abd0d28,0,-2,-2,0,AOTIV8H84F69E,0,0,0,5,0,3,0,2,0,0,1,-2,-2,0,0,0,-2,0,
0,0,1,1,-1,0,0,1,1.0,0,0,2,1,-1,-2,0,-2,1,0,0,1,0,0,6,1,5,2,-2,1,0,0,-2,0,-2,5c145a7fc62f8,-2,-2,-2,0,A3BGXD5JYUCU8P,0,-2,0,5,1,,0,0,-2,0,-2,0,-2,0,4,0,0,0,
0,0,0,-2,1.0,0,-2,1,-1,0,3,0,-2,-1,1,0,-2,-2,15,0,1,0,0,1,1,,0,1,6,12,0,1,0,-2,5c142918581de,-2,0,1,0,A3ANJRMHMVC97K,0,-2,3,4,0,,0,6,-2,3,-2,-2,1,0,0,0,-2,0,0
0,0,0,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,1,1,1,6,-2,3,0,0,-2,0,-2,5c141d5abc35d,-2,-2,-2,0,A326O3VWP8TO8N,0,-2,0,3,0,,1,4,-2,0,-2,0,-2,0,5,0,0,0,
13,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,4,0,0,1,,0,-2,6,0,16,-2,0,1,5c142d909b44b,1,-2,-2,0,A3C0NQ2IP5FTZQ,0,0,0,1,0,0,0,5,0,0,1,-2,-2,0,0,0,-2,1,
18,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,1.0,-2,0,1,-2,0,1,1,2,0,2,1,,0,-2,2,0,19,-2,0,1,5c1426de200bc,1,-2,-2,0,AGHKGWDYPVDFE,0,0,0,5,0,1,0,1,0,0,1,-2,-2,0,0,0,-2,1,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,4,1,1,2,-2,5,0,0,-2,0,-2,5c142cb481cfc,-2,-2,-2,0,AZMMJFMLYXZ2D,0,-2,0,5,3,,0,4,-2,0,-2,0,-2,0,2,0,0,0,
12,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,2,1,,0,-2,4,0,13,-2,0,1,5c1421d89f279,1,-2,-2,0,A2RQMEPIHW5BOS,0,0,0,5,0,2,0,4,0,0,1,-2,-2,0,0,0,-2,2,
13,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,1.0,-2,0,1,-2,0,2,1,1,0,1,1,,0,-2,6,0,12,-2,0,1,5c140aa427f84,1,-2,-2,0,APCDH6WGUN4GU,0,0,0,6,0,1,0,6,0,0,1,-2,-2,0,0,0,-2,2,
5,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0,-2,0,0,-2,0,3,1,0,0,5,1,,0,-2,3,0,4,-2,0,0,5c140a4e4bc0f,0,-2,-2,0,AEKJ0Q3OITMRJ,0,0,0,2,0,4,0,4,0,0,0,-2,-2,0,0,0,-2,1,
14,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.666666666667,-2,0,1,-2,0,3,1,0,0,2,1,,0,-2,2,0,13,-2,0,1,5c140abe4af20,0,-2,-2,0,A39ZJ6GDHFZRJW,0,0,0,4,0,1,0,2,0,0,0,-2,-2,0,0,0,-2,1,
0,0,0,-2,0,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,10,0,1,0,0,4,1,,0,0,4,10,0,0,0,-2,5c1454d326b0a,-2,0,0,0,A3TT7QV49VCZJ9,0,-2,3,2,0,,0,4,-2,0,-2,-2,0,0,0,0,-2,0,2
11,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,2,1,,0,-2,4,0,13,-2,0,1,5c14296886ed9,1,-2,-2,0,A2YLK83DQ6PA5Y,0,0,0,4,0,2,0,5,0,0,1,-2,-2,0,0,0,-2,1,
14,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,2,1,,0,-2,4,0,15,-2,0,1,5c1441062c290,1,-2,-2,0,ACURSNZORZLQ3,0,0,0,1,0,2,0,4,0,0,1,-2,-2,0,0,0,-2,2,
0,0,0,-2,1.0,0,-2,1,-1,0,2,0,-2,-1,1,0,-2,-2,18,0,1,0,0,2,1,,0,1,4,17,0,1,0,-2,5c141a9e92d95,-2,0,1,0,AR67RZM4TDX5M,0,-2,2,6,0,,0,1,-2,2,-2,-2,1,0,0,1,-2,0,1
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-1,0,-2,-2,0,0,0,0,0,2,1,,0,-1,3,0,0,-1,0,-2,5c140cdb4a6db,-2,-1,-1,0,AUFOO8PU2BK37,0,-2,0,5,0,,0,3,-2,0,-2,-2,-1,0,0,0,-2,0,3
10,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,4,1,,0,-2,4,0,13,-2,0,1,5c141c8ca52f1,1,-2,-2,0,A27CEAL8PWSAG5,0,0,0,6,0,2,0,0,0,0,1,-2,-2,0,0,0,-2,0,
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,6,0,1,0,0,4,1,,0,0,3,5,0,0,0,-2,5c1426b6c3f44,-2,0,0,0,A3V2FC94OTH1WG,0,-2,0,5,0,,0,6,-2,1,-2,-2,0,0,0,0,-2,0,5
0,0,0,-2,0,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,5,0,1,0,0,4,1,,0,0,2,5,0,0,0,-2,5c140cd8c0305,-2,0,0,0,A1SHLWKA0UH1IS,0,-2,3,4,0,,0,2,-2,0,-2,-2,0,0,0,0,-2,0,3
12,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,3,0,11,-2,0,1,5c1435b5b2272,1,-2,-2,0,A1TGV7LT6LTIQU,0,0,0,5,0,4,0,4,0,0,1,-2,-2,0,0,0,-2,1,
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,3,1,3,4,-2,1,0,0,-2,0,-2,5c141d0817286,-2,-2,-2,0,A03172343NB8PHOPICC1,0,-2,0,3,3,,0,5,-2,0,-2,0,-2,0,4,0,0,0,
22,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,0,1,,0,-2,5,0,20,-2,0,1,5c142ae3250c4,1,-2,-2,0,ALV4DAF8DIJ37,0,0,0,5,0,0,0,5,0,0,1,-2,-2,0,0,0,-2,2,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,0,1,0,10,-2,6,0,0,-2,0,-2,5c141b9530a03,-2,-2,-2,0,A2GG7HIO2OIXUR,0,-2,0,6,3,,1,6,-2,0,-2,0,-2,0,9,0,0,0,
0,0,0,-2,0.5,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,17,0,1,0,0,6,1,,0,1,5,19,0,0,0,-2,5c1411a154114,-2,0,0,0,A1MJCBEHHG65YW,0,-2,0,5,0,,0,3,-2,2,-2,-2,1,0,0,4,-2,0,5
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-1,0,-2,-2,0,0,0,0,0,1,1,,0,-1,4,0,0,-1,0,-2,5c1450a557976,-2,-1,-1,0,AON59V5VZU2AK,0,-2,0,1,0,,0,5,-2,0,-2,-2,-1,0,0,0,-2,0,1
13,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,1,1,,0,-2,5,0,11,-2,0,1,5c141ea26cbdb,1,-2,-2,0,AI6U09NVOZ62B,0,0,0,6,0,1,0,3,0,0,1,-2,-2,0,0,0,-2,2,
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,4,1,3,6,-2,2,0,0,-2,0,-2,5c14140a39996,-2,-2,-2,0,AKX9W0NF71OI7,0,-2,0,4,3,,1,3,-2,0,-2,0,-2,0,5,0,0,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,4,1,4,5,-2,2,0,0,-2,0,-2,5c14445775291,-2,-2,-2,0,A2EFD6B17D9HQV,0,-2,0,4,3,,0,2,-2,0,-2,0,-2,0,5,0,0,0,
15,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,0.666666666667,-2,0,1,-2,0,0,1,3,0,2,1,,0,-2,2,0,18,-2,0,0,5c1463605ddd6,0,-2,-2,0,A3F51C49T9A34D,0,0,0,2,0,1,0,4,0,0,1,-2,-2,0,0,0,-2,0,
0,0,0,-2,1.0,0,-2,1,-1,0,2,0,-2,-1,1,0,-2,-2,14,0,1,0,0,4,1,,0,1,1,12,0,1,0,-2,5c146655e99ff,-2,0,1,0,A1VELWIW4WE0FY,0,-2,2,6,0,,0,1,-2,3,-2,-2,1,0,0,1,-2,0,5
0,0,0,-2,1.0,0,-2,1,-1,0,3,0,-2,-1,1,0,-2,-2,12,0,1,0,0,4,1,,0,1,1,9,0,1,0,-2,5c1429a2b8f3f,-2,0,1,0,A2RCYLKY072XXO,0,-2,3,4,0,,0,1,-2,3,-2,-2,1,0,0,0,-2,0,0
0,0,0,-1,-1,0,-1,1,-1,0,0,0,-1,-1,-2,0,-2,-1,0,0,0,0,0,3,1,3,0,-2,3,0,0,-2,0,-2,5c14324497d07,-2,-2,-2,0,A3G1BBREGPNMXM,0,-2,0,3,0,,0,3,-2,0,-2,-1,-2,0,0,0,-1,0,
17,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,0,-2,0,0,-2,0,2,1,1,0,3,1,,0,-2,4,0,16,-2,0,0,5c1443b3b201b,0,-2,-2,0,A10AVMDRAU2NN5,0,0,0,2,0,3,0,4,0,0,0,-2,-2,0,0,0,-2,2,
2,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,0.666666666667,-2,0,1,-2,0,0,1,4,0,4,1,,0,-2,5,0,6,-2,0,0,5c147bd7ac15d,0,-2,-2,0,A3GLUMB7HM8QQM,0,0,0,6,0,5,0,2,0,0,1,-2,-2,0,0,0,-2,0,
10,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,3,0,9,-2,0,1,5c147c5429463,1,-2,-2,0,A1UXVLMCA3PBIL,0,0,0,2,0,2,0,3,0,0,1,-2,-2,0,0,0,-2,1,
15,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,0,-2,0,0,-2,0,0,1,4,0,1,1,,0,-2,3,0,17,-2,0,0,5c147bdcb2ce0,0,-2,-2,0,A13XO9WBON6FRI,0,0,0,1,0,0,0,5,0,0,0,-2,-2,0,0,0,-2,2,
0,0,0,-2,1.0,0,-2,1,-1,0,3,0,-2,-1,1,0,-2,-2,15,0,1,0,0,0,1,,0,1,6,14,0,1,0,-2,5c147c1a773a8,-2,0,1,0,A272X64FOZFYLB,0,-2,3,6,0,,0,5,-2,1,-2,-2,1,0,0,0,-2,0,0
8,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,0,-2,0,0,-2,0,1,1,3,0,6,1,,0,-2,6,0,11,-2,0,0,5c147df0614b1,0,-2,-2,0,A1MK0PFRB6LFBS,0,0,0,5,0,5,0,5,0,0,0,-2,-2,0,0,0,-2,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,5,1,2,10,-2,1,0,0,-2,0,-2,5c147c6384952,-2,-2,-2,0,A35WVQAR3KY8M6,0,-2,0,5,3,,1,3,-2,0,-2,0,-2,0,9,0,0,0,
13,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,1,1,,0,-2,5,0,11,-2,0,1,5c14984c6234a,1,-2,-2,0,ASS4LIVDW452F,0,0,0,1,0,0,0,4,0,0,1,-2,-2,0,0,0,-2,2,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,4,1,4,5,-2,5,0,0,-2,0,-2,5c14807cb9a77,-2,-2,-2,0,ACGZDI611LU0I,0,-2,0,5,3,,1,0,-2,0,-2,0,-2,0,4,0,0,0,
0,0,0,-2,0.75,0,-2,1,-1,0,3,0,-2,-1,1,0,-2,-2,23,0,1,0,0,1,1,,0,1,4,21,0,0,0,-2,5c147bc78260b,-2,0,0,0,AAI3I3PT62PDK,0,-2,3,5,0,,0,4,-2,2,-2,-2,1,0,0,0,-2,0,1
0,0,0,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,0,1,0,7,-2,3,0,0,-2,0,-2,5c147ec1d8af8,-2,-2,-2,0,A2INXY39KBM92F,0,-2,0,1,0,,1,6,-2,0,-2,0,-2,0,6,0,0,0,
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,1,1,1,10,-2,3,0,0,-2,0,-2,5c147b8413e0b,-2,-2,-2,0,A2QBBJCOCZPTYR,0,-2,0,1,3,,1,3,-2,0,-2,0,-2,0,9,0,0,0,
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-1,0,-2,-2,0,0,0,0,0,4,1,,0,-1,4,0,0,-1,0,-2,5c148519acbdd,-2,-1,-1,0,A1ZOLH6MN0ZH9R,0,-2,0,5,0,,0,6,-2,0,-2,-2,-1,0,0,0,-2,0,5
0,0,0,-2,0,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,10,0,1,0,0,5,1,,0,0,4,9,0,0,0,-2,5c14995a9c824,-2,0,0,0,AZXHJOJDNOKY9,0,-2,3,4,0,,0,2,-2,1,-2,-2,0,0,0,0,-2,0,1
0,0,0,-2,1.0,0,-2,1,-1,0,1,0,-2,-1,1,0,-2,-2,15,0,1,0,0,4,1,,0,1,3,16,0,1,0,-2,5c147c6f3269a,-2,0,1,0,A29RTM0C6FDCYW,0,-2,1,5,0,,0,4,-2,1,-2,-2,1,0,0,2,-2,0,1
0,0,0,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,1,1,5,7,-2,5,0,0,-2,0,-2,5c147cbff1d51,-2,-2,-2,0,A2QB9LVY562WG7,0,-2,0,2,0,,0,2,-2,0,-2,0,-2,0,7,0,0,0,
19,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,1,1,,0,-2,5,0,18,-2,0,1,5c147b14a04cf,1,-2,-2,0,A1X2DPI7Q9QIJK,0,0,0,1,0,0,0,5,0,0,1,-2,-2,0,0,0,-2,1,
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-1,0,-2,-2,0,0,0,0,0,3,1,,0,-1,6,0,0,-1,0,-2,5c14825739309,-2,-1,-1,0,A190P4JHYVT7VI,0,-2,0,6,0,,0,6,-2,0,-2,-2,-1,0,0,0,-2,0,0
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-2,0,-1,-2,0,0,0,0,0,4,1,,0,-2,0,0,0,-2,0,-1,5c147b62b5219,-1,-2,-2,0,A2RPYHATMG69C5,0,-1,0,6,0,3,0,0,-1,0,-1,-2,-2,0,0,0,-2,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,1,1,1,8,-2,4,0,0,-2,0,-2,5c147d23797c4,-2,-2,-2,0,A70L26UXLTGLC,0,-2,0,5,3,,1,4,-2,0,-2,0,-2,0,7,0,0,0,
0,0,0,-2,0.285714285714,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,12,0,1,0,0,1,1,,0,0,3,10,0,0,0,-2,5c147b400b14a,-2,0,1,0,A8WUIM7FKXJJ0,0,-2,0,4,0,,0,3,-2,2,-2,-2,0,0,0,0,-2,0,1
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-1,0,-2,-2,0,0,0,0,0,2,1,,0,-1,4,0,0,-1,0,-2,5c147b302d434,-2,-1,-1,0,A1OZN075MPLC9V,0,-2,0,5,0,,0,5,-2,0,-2,-2,-1,0,0,0,-2,0,3
12,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,4,0,4,1,,0,-2,3,0,15,-2,0,1,5c147c8f80331,1,-2,-2,0,A1I4UGT8ZJCB7J,0,0,0,6,0,6,0,0,0,0,1,-2,-2,0,0,0,-2,1,
16,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.666666666667,-2,0,1,-2,0,3,1,0,0,1,1,,0,-2,2,0,15,-2,0,0,5c149a387b993,0,-2,-2,0,A1V7PBZR5M9RBG,0,0,0,1,0,2,0,4,0,0,1,-2,-2,0,0,0,-2,1,
18,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,0.666666666667,-2,0,1,-2,0,2,1,1,0,4,1,,0,-2,3,0,18,-2,0,0,5c149842f41d7,0,-2,-2,0,A3UF6XXFFRR237,0,0,0,6,0,5,0,0,0,0,1,-2,-2,0,0,0,-2,1,
11,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,0.285714285714,-2,0,0,-2,0,0,1,3,0,1,1,,0,-2,3,0,12,-2,0,1,5c147b23e7cf2,0,-2,-2,0,A3EF8GZ0SK81BS,0,0,0,4,0,2,0,5,0,0,0,-2,-2,0,0,0,-2,2,
9,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,3,0,8,-2,0,1,5c147b56a5f9a,1,-2,-2,0,A1S6Q6KQ746Y4B,0,0,0,4,0,0,0,3,0,0,1,-2,-2,0,0,0,-2,1,
0,0,0,-2,1.0,0,-2,1,-1,0,3,0,-2,-1,1,0,-2,-2,13,0,1,0,0,2,1,,0,1,1,10,0,1,0,-2,5c147ef70e810,-2,0,1,0,AMHY3SNT6BTDR,0,-2,3,1,0,,0,4,-2,3,-2,-2,1,0,0,0,-2,0,4
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,5,1,3,6,-2,2,0,0,-2,0,-2,5c147c0a84fa8,-2,-2,-2,0,AT60ESWGVSAG9,0,-2,0,5,3,,0,2,-2,0,-2,0,-2,0,6,0,0,0,
15,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,0.666666666667,-2,0,1,-2,0,1,1,2,0,3,1,,0,-2,1,0,16,-2,0,1,5c149ef2b671c,0,-2,-2,0,A1QN1D21M88OXC,0,0,0,6,0,0,0,3,0,0,0,-2,-2,0,0,0,-2,1,
0,0,0,-2,0.75,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,17,0,1,0,0,2,1,,0,1,2,15,0,0,0,-2,5c147ccd6f3df,-2,0,1,0,A1RM7LBODTYWMH,0,-2,3,2,0,,0,4,-2,2,-2,-2,1,0,0,0,-2,0,1
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,5,1,3,2,-2,4,0,0,-2,0,-2,5c1498a1dc7ab,-2,-2,-2,0,A2PWE9TKEM99BA,0,-2,0,5,3,,0,1,-2,0,-2,0,-2,0,2,0,0,0,
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,3,1,1,3,-2,3,0,0,-2,0,-2,5c147cd16a12c,-2,-2,-2,0,A1DB6R422JVFAX,0,-2,0,2,3,,0,3,-2,0,-2,0,-2,0,3,0,0,0,
0,0,0,-2,0,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,9,0,1,0,0,6,1,,0,0,4,8,0,0,0,-2,5c14a3d1e4f6d,-2,0,0,0,A3VAMRQ6CQSNJ1,0,-2,3,5,0,,0,5,-2,1,-2,-2,0,0,0,0,-2,0,6
0,0,2,0,-1,0,0,1,0,0,0,1,0,-1,-2,0,-2,0,0,0,1,0,0,3,1,4,9,-2,1,0,0,-2,0,-2,5c149a2c63b55,-2,-2,-2,0,A9V64WMC7XIRB,0,-2,0,1,2,,0,4,-2,0,-2,0,-2,0,10,0,0,0,
0,0,0,-1,-1,0,-1,1,-1,0,0,0,-1,-1,-2,0,-2,-1,0,0,0,0,0,5,1,6,0,-2,4,0,0,-2,0,-2,5c147b09321d2,-2,-2,-2,0,A1IHIFY7PTOEF7,0,-2,0,4,0,,0,6,-2,0,-2,-1,-2,0,0,0,-1,0,
