uid,task_1_oidx_from_user,use_navigation,understood,worker_id,use_relocation,task_3_oidx_from_user,tasks_easy,incomplete_logfile,use_delivery,frustrated,task_2_correct,task_1_correct,task_2_oidx_from_user,pickle_exists,log_exists,task_3_correct,task_1_str_from_user,object_qs,task_3_str_from_user,task_2_str_from_user,error_found_in_logfile
5a2601d0d562e,5,4,5,A187VXD4ETY6M2,5,0,6,0,5,0,1,1,5,1,1,1,4,1,0,12,0
5a261e8b17915,0,3,5,AK3DF1BXS8DSM,4,0,5,1,5,2,-1,0,0,0,1,-2,0,2,0,0,0
5a2601d2720e6,5,4,4,A13V6ZYVF3A7EW,4,0,6,1,4,4,1,1,5,0,1,-1,12,2,0,23,0
5a2601c7dfda8,5,1,2,A26TY8FHMJ183C,1,0,4,1,1,5,0,1,5,0,1,-1,9,2,0,14,1
5a26020a1de03,5,1,5,A2ZPOT9PJ03XZP,5,0,5,1,5,1,-1,1,0,0,1,-2,8,1,0,0,1
5a260531ec754,0,4,4,A264EBGUV70XK9,2,0,2,1,3,3,-2,-1,0,0,1,-2,0,2,0,0,0
5a260ca5c1150,0,0,0,A3LLOANE52R4LT,0,0,0,1,0,0,-2,-1,0,0,1,-2,0,0,0,0,1
5a26032273ee5,0,1,1,A1IM8G6UNAGQ7S,1,0,2,1,2,1,-2,-1,0,0,1,-2,0,2,0,0,0
5a2602019be46,5,0,2,A1CW30JQN12CIN,0,0,5,0,0,4,0,0,5,1,1,0,13,6,0,12,0
5a2610e438a6a,0,4,4,A3O8NBM8GZ0QHW,4,0,3,1,3,3,-2,-1,0,0,1,-2,0,2,0,0,0
5a26037a8d02f,5,5,2,A2W59CL4UQ3S4S,4,0,5,0,2,3,1,1,3,1,1,0,12,2,0,6,0
5a260efa0d546,0,5,4,A3PT15XRN1X8VE,5,0,4,1,4,5,-2,-1,0,0,1,-2,0,5,0,0,1
5a26375591516,0,5,5,A3QX9ABC1DVMQG,5,0,6,1,5,0,-2,-1,0,0,1,-2,0,3,0,0,0
5a2601bc8debd,5,0,0,A1M1T2EF4Y2IW8,0,0,0,0,0,6,0,1,5,1,1,0,4,6,0,6,0
5a261f31c76b0,0,2,4,A2NPUPP06POEJ0,4,0,2,1,3,3,-2,-1,0,0,1,-2,0,4,0,0,0
5a261bd3a832f,5,6,5,A3DMLZASIE8BN6,6,0,5,1,6,1,1,1,0,0,1,-1,6,1,0,0,0
5a261e9abae9a,0,4,5,A2M5YIOR0MJUSA,5,0,4,1,3,6,-2,-1,0,0,1,-2,0,5,0,0,0
5a26108641464,0,2,2,A1TQ7UQSSQP7BD,4,0,3,1,3,4,-2,-1,0,0,1,-2,0,3,0,0,0
5a261d4fe8bad,5,1,2,AYCGL8UG3ZVVK,4,0,5,1,2,5,-1,1,0,0,1,-2,7,1,0,0,0
5a2601e513c7b,0,1,5,A2VF6506WDNXKS,5,0,5,1,4,1,-1,1,0,0,1,-2,0,4,0,0,0
5a260207282bb,5,2,0,A1D55M2EPFWCET,3,0,1,1,1,6,-1,1,0,0,1,-2,9,3,0,0,0
5a2601f84bc64,5,0,2,A29VPSFOR6OO5H,0,0,1,0,0,5,1,0,5,1,1,0,6,5,0,18,0
5a260531ec754,0,4,4,A6NN7XDLH3RON,2,0,2,1,3,3,-2,-1,0,0,1,-2,0,2,0,0,0
5a2621b95c360,0,4,4,A32Y9JC775LYLV,4,0,3,1,3,2,-2,-1,0,0,1,-2,0,3,0,0,0
5a2603031a9e1,5,0,0,A2EF48CNFOTO6N,0,0,5,0,0,4,1,1,4,1,1,0,6,3,0,14,0
5a2607fee5f13,0,2,5,A2AMYX1J96G2JG,5,0,4,1,3,6,-2,-1,0,0,1,-2,0,3,0,0,0
5a2487fe6250a,0,0,0,A38Q1M4DS1MT4W,0,0,0,1,0,6,-2,-1,0,0,1,-2,0,0,0,0,0
5a25a223afa5f,0,-1,-1,APYVY45NMS560,-1,0,-1,1,-1,-1,-2,-2,0,0,0,-2,0,-1,0,0,0
5a2485ed24318,0,0,1,A3M8GAOFRN7YEX,0,0,1,0,0,4,1,0,5,1,1,0,6,2,0,8,0
5a2485d289195,5,2,4,A308FEI88TJ8WV,4,0,2,0,4,4,0,1,5,1,1,0,5,2,0,9,0
5a24861a94787,0,6,3,A3SS0C4IVTSIFL,6,0,6,1,6,0,-2,-1,0,0,1,-2,0,3,0,0,0
5a2485de82f64,5,0,0,A2YLK83DQ6PA5Y,0,0,0,1,0,6,-1,0,0,0,1,-2,21,6,0,0,0
5a248ee031e82,0,5,1,AE1LJ76N3EROM,5,0,5,1,5,1,-2,-1,0,0,1,-2,0,1,0,0,0
5a24863b6ff83,0,3,3,A3FE4NL20RYW22,3,0,3,1,3,4,-2,-1,0,0,1,-2,0,0,0,0,0
5a2501f26b151,0,3,3,A2OVX9UW5WANQE,3,0,3,1,3,3,-2,-1,0,0,1,-2,0,3,0,0,0
5a249ab2f1613,0,3,3,A2BNOEYZ3VRW2R,3,0,1,1,3,3,-2,-1,0,0,1,-2,0,1,0,0,0
5a2485b0f341f,5,0,1,A2GK13FMOO7MDE,0,0,6,0,0,5,1,1,5,1,1,0,24,0,0,8,0
5a24880d3dbd5,0,4,4,A1AJLZ2KXEWVJE,4,0,4,1,4,0,-2,-1,0,0,1,-2,0,4,0,0,0
5a24884c713ac,5,0,1,A1PHRDHILABAVG,2,0,1,0,1,5,0,0,5,1,1,0,15,6,0,10,0
5a249978743fa,0,4,2,A281NYJUA83Y3Y,1,0,6,1,2,5,-2,-1,0,0,1,-2,0,1,0,0,0
5a2485e834034,5,4,4,A1WGAGT5ZN4A3X,4,0,1,0,4,0,0,0,5,1,1,0,6,0,0,6,0
5a248bf3cb021,0,0,4,A2Q1JUSJ9THUDZ,0,0,1,1,3,6,-2,-1,0,0,1,-2,0,0,0,0,0
5a24891da1093,0,0,1,A2RUHO7I7Y4XFA,4,0,1,1,5,5,-1,0,0,0,1,-2,0,5,0,0,0
5a24892f711a6,0,1,1,AQTJFPB37TML0,1,0,5,1,1,5,-2,-1,0,0,1,-2,0,1,0,0,0
5a2485c5be066,0,0,0,A2Q6WH9880TZAH,0,0,1,1,0,6,-2,-1,0,0,1,-2,0,6,0,0,0
5a24858231992,5,3,5,A1T3YNSVCIU7SC,4,0,5,0,3,4,1,1,5,1,1,0,7,6,0,11,0
5a2488483fad5,0,1,0,A2NQO3JAPV0MUQ,1,0,0,1,1,5,-2,-1,0,0,1,-2,0,3,0,0,0
5a24a33fc2b61,0,1,1,A3KEXGGWAF0RQY,1,0,5,1,1,1,-2,-1,0,0,1,-2,0,1,0,0,0
5a25067b9a1fa,0,3,3,A2FLOH4DM8A4ZS,3,0,3,1,3,3,-2,-1,0,0,1,-2,0,3,0,0,0
5a252c9bb6163,0,3,3,A2H1WXKLKRBSHH,3,0,3,1,3,3,-2,-1,0,0,1,-2,0,3,0,0,0
5a24858d725d5,5,4,5,A1O3FM0MCRSQIM,4,0,6,0,4,1,1,1,5,1,1,0,5,1,0,13,0
5a248629b420c,0,1,1,A3RS7UCO7CQ74R,1,0,3,1,0,4,-2,-1,0,0,1,-2,0,5,0,0,0
5a2485c71cf6b,0,2,0,A1USR9JCAMDGM3,2,0,1,1,2,4,-2,-1,0,0,1,-2,0,5,0,0,0
5a24858d88f62,5,0,4,A1C0H8G0YI15MN,0,0,5,1,0,6,0,1,5,0,1,-1,12,2,0,26,0
5a25bcd3bfd89,0,-1,-1,A3MD34XEB4H6JF,-1,0,-1,1,-1,-1,-2,-2,0,0,0,-2,0,-1,0,0,0
5a2489ae02715,5,4,5,AFSB8WBSUU2B4,4,0,4,1,4,2,0,1,5,0,1,-1,14,4,0,22,1
5a2485947739e,5,2,1,AN8D6NVSDDMEZ,2,0,0,0,2,3,0,0,4,1,1,0,9,3,0,8,0
5a25969ac1d04,0,-1,-1,A1NITBXDX8TN7T,-1,0,-1,1,-1,-1,-2,-2,0,0,0,-2,0,-1,0,0,0
5a257622241bc,0,3,5,A5P60L5IKHR34,3,0,4,1,3,3,-2,-1,0,0,1,-2,0,0,0,0,0
5a24df810d656,0,3,0,A3DMLZASIE8BN6,3,0,3,1,3,6,-2,-1,0,0,1,-2,0,0,0,0,0
5a248605bb702,0,1,0,AJM4334V07JDQ,1,0,2,1,1,5,-1,0,0,0,1,-2,8,3,0,0,0
5a2485994096f,5,4,2,AFM6MQ0XZXKQD,4,0,4,0,4,4,0,0,5,1,1,0,8,4,0,22,0
5a24932a9775b,0,3,3,A3AFC26CB0AXMI,3,0,3,1,3,3,-2,-1,0,0,1,-2,0,3,0,0,0
5a2486ce1f068,0,3,1,A2EPBSY0VPI38S,3,0,1,1,3,0,-2,-1,0,0,1,-2,0,0,0,0,0
5a24bf2426313,0,3,3,A1UJRYZA3748OU,3,0,5,1,3,4,-2,-1,0,0,1,-2,0,3,0,0,0
