uid,task_1_oidx_from_user,use_navigation,understood,worker_id,use_relocation,task_3_oidx_from_user,tasks_easy,incomplete_logfile,use_delivery,frustrated,task_2_correct,task_1_correct,task_2_oidx_from_user,pickle_exists,log_exists,task_3_correct,task_1_str_from_user,object_qs,task_3_str_from_user,task_2_str_from_user,error_found_in_logfile
5a2c2ddcf18e4,5,5,4,A2ILJXGNC20RJ7,4,5,5,1,4,4,1,1,5,1,1,0,3,5,7,8,0
5a2c48f15abe6,5,0,1,A1BM6R7CEF69J9,0,0,1,1,0,6,-2,-1,0,0,1,-2,11,6,0,0,0
5a2c4cb766fcf,5,3,5,A101TTS7WAVXAV,3,5,6,1,3,5,0,0,5,1,1,0,6,5,10,20,0
5a2c41d02a543,5,0,1,ATOV0H5KQHI29,0,5,4,1,0,5,0,1,5,1,1,0,10,1,7,4,0
5a2c2b74b6ae0,5,1,2,AN9S1ECI7VDAR,3,0,1,1,1,6,-1,1,5,1,1,-2,16,3,0,22,0
5a2c27422b42c,5,0,0,A3SKEW89V5S0DI,0,0,1,1,0,6,-1,0,5,1,1,-2,4,6,0,16,0
5a2c25a75be4b,5,1,4,A1DLVGKWUB1CIQ,0,4,2,1,0,5,1,1,4,1,1,0,7,5,8,20,0
5a2c26aadbb13,5,0,2,A2KMVC3OSSTCEC,0,5,5,1,0,5,0,1,5,1,1,0,3,4,4,12,0
5a2c25c198bec,5,2,1,A4LIJVRU6DG61,2,5,5,1,2,5,0,0,5,1,1,0,18,4,9,21,0
5a2c27aaab139,5,0,0,AHZP05WVFXXCG,0,5,5,1,0,6,0,0,4,1,1,0,15,6,22,23,0
5a2c259a95191,5,4,4,A3914P24XPNPY3,3,4,5,1,3,5,0,0,4,1,1,0,7,4,9,11,0
5a2c4c8ab9e46,5,0,0,A7TITSQ6ZB9P3,1,5,5,1,1,6,1,0,5,1,1,-1,7,6,26,22,0
5a2c293d7becf,5,3,6,ANPDE6V9CDRF3,3,5,6,1,3,0,0,0,5,1,1,0,16,3,5,7,0
5a2c43c2aff38,5,1,3,A3S1TLYMH9WWUG,1,5,4,1,1,5,1,1,5,1,1,1,5,5,40,18,0
5a2c25c71fd01,5,1,2,A1MRBBA2OLM223,4,0,2,1,5,4,-1,1,0,1,1,-2,7,3,0,0,0
5a2c46dae808a,5,1,2,A16SAB417Y96G4,3,5,3,1,4,3,0,1,5,1,1,-1,5,1,21,16,0
5a2c38de8ad80,5,0,0,A1WNXEXREXUZPZ,0,0,0,1,0,5,-1,0,5,1,1,-2,15,4,0,24,0
5a2c60fb7ae00,5,1,1,A3JAM040VWXHDO,3,0,4,1,1,5,-1,1,0,1,1,-2,6,4,0,0,0
5a2c818feef4d,5,1,0,A3DMLZASIE8BN6,1,0,5,1,1,6,-1,1,5,1,1,-2,8,3,0,45,0
5a2c773acd4ac,5,0,1,A2HB1XDHNI1UX9,0,0,3,1,0,4,-1,0,5,1,1,-2,12,2,0,24,0
5a2c5a7b98879,5,4,5,A2JBYGXAZAYBWY,5,5,6,1,4,1,0,0,5,1,1,1,10,1,7,20,0
5a2c5a9b84870,5,3,2,A3PDTUA1YLJTMC,3,0,4,1,4,5,-2,-1,0,0,1,-2,12,5,0,0,0
5a2c5b07e5f25,5,3,1,ANKVD3FR8CCQ8,3,5,5,1,3,4,1,0,5,1,1,-1,13,2,8,20,0
5a2c5aef88a38,5,0,4,A3HTLXAPOBCVVO,0,5,5,1,0,6,0,1,5,1,1,-1,2,4,9,10,0
5a2c5cf5e591f,5,5,2,A3LLXN0CPK7N5B,5,5,4,1,5,3,0,0,4,1,1,0,5,4,17,13,0
5a2c5ad9c79ac,5,4,1,AOBTFLJU2BEPR,3,0,2,1,3,6,-2,-1,0,0,1,-2,24,3,0,0,0
5a2c5b6484557,5,4,4,A3D5BMOC6B7XNQ,4,5,6,1,4,6,1,0,5,1,1,-1,2,6,14,10,0
5a2c5c608a242,5,1,1,A1PJS9XY2EVLDG,3,0,6,1,4,5,-1,1,5,1,1,-2,5,5,0,15,0
5a2c5b84bbd00,5,3,0,A36N7DIMV383CS,5,0,5,1,5,4,-1,0,5,1,1,-2,6,4,0,13,0
5a2c5a84d4930,5,1,0,A7VYHDUSGS70R,1,0,4,1,1,6,-1,1,4,1,1,-2,9,2,0,31,0
5a2c5afd6a0e9,5,5,5,AXQWKUJF7SQXP,5,5,5,1,5,4,0,0,5,1,1,0,23,5,15,9,0
5a2c61865c8de,5,2,2,A1T3YNSVCIU7SC,2,5,5,1,2,4,1,1,5,1,1,1,9,5,33,33,0
5a2c5b12da9e3,5,4,1,A3SZW0JP3TMJBK,1,0,4,1,1,2,-1,1,5,1,1,-2,5,4,0,14,0
5a2c60e886344,5,0,0,A214HWAW1PYWO8,0,1,6,1,0,6,1,1,5,1,1,-1,12,5,25,25,0
5a2c5d4f2a690,5,1,2,A1QOGIYZ1UQ34V,1,5,4,1,1,6,0,0,5,1,1,-1,5,5,10,7,0
5a2c629ebfd82,0,3,4,AUT1MH3OQ6T1,2,0,4,1,3,2,-1,1,0,1,1,-2,0,2,0,0,0
5a2c5cb273079,5,0,1,A36OTYLX5AT2KM,1,0,4,1,1,4,0,0,5,1,1,-1,14,5,18,8,0
5a2c6995e985a,5,0,4,ART2B51OIA2V3,0,5,5,1,0,6,0,1,5,1,1,0,4,6,13,10,0
5a2c647e839c5,5,1,1,A1DVCUCOTAC0JQ,1,0,4,1,1,6,-2,-1,0,0,1,-2,11,3,0,0,0
5a2c5b8d91405,5,0,1,ATO3MTLDFN2U4,0,5,4,1,0,6,0,0,5,1,1,-1,5,5,12,6,0
5a2c61baf007c,5,3,4,AEQ8K4HBO323D,4,0,4,1,4,4,1,1,5,1,1,-1,12,5,0,5,0
5a2c81298e3c3,5,6,5,AYLAJHJXMPIBM,5,5,4,1,4,3,0,0,5,1,1,0,15,5,10,6,0
5a2c600eee649,5,0,0,A2DEOMWBTY9JUM,0,4,5,1,0,5,1,1,5,1,1,-1,6,6,26,27,0
5a2c5d5b47d72,5,2,1,A1ZTSCPETU3UJW,2,5,3,1,2,4,0,0,5,1,1,0,6,4,15,15,0
5a2c5cf173655,5,1,2,AVPCUQOQEPTCI,2,5,2,1,2,5,1,1,5,1,1,0,2,5,7,6,0
5a2c5abc1d834,5,2,2,A3D9NTTKE35SRL,2,5,4,1,2,6,1,0,5,1,1,-1,3,4,14,6,0
