task_1_correct_source,task_3_correct_patient,object_qs,task_2_synonym,task_2_correct,task_3_synonym,log_exists,task_3_str_from_user,task_2_enum_from_user,task_3_correct,task_2_perception_ex,task_2_oidx_from_user,task_2_correct_action,task_2_str_from_user,incomplete_logfile,tasks_easy,task_3_perception_yn,understood,use_relocation,task_1_correct_action,error_found_in_logfile,task_1_oidx_from_user,task_2_perception_yn,task_1_correct_recipient,task_1_perception_ex,task_1_correct_patient,task_1_correct_goal,task_3_correct_recipient,task_3_perception_ex,task_3_f1,task_2_correct_source,use_delivery,task_3_correct_goal,task_1_perception_q,task_1_perception_yn,task_3_oidx_from_user,task_2_f1,task_3_clarification,task_1_synonym,task_2_correct_goal,task_2_clarification,use_navigation,pickle_exists,task_1_f1,task_2_correct_patient,task_1_enum_from_user,task_3_perception_q,task_3_enum_from_user,task_1_clarification,worker_id,task_2_perception_q,task_2_correct_recipient,warning_found_in_logfile,task_1_correct,task_3_correct_source,frustrated,task_1_str_from_user,task_3_correct_action,uid
0,-2,0,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,5,,1,0,0,0,0,0,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,5,1,1.0,-2,0,0,0,6,A1YXWPM1Q2TQA0,0,-2,0,1,-2,0,6,-2,5c1c5ddb53531
-2,-2,4,0,1,0,1,0,1,-2,3,3,1,17,1,3,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,2,-2,0,0,0,1.0,0,0,0,18,,1,-1,1,0,0,0,0,A3SE8E7OCS96VM,0,1,0,-2,-2,3,0,-2,5c1c08cd8ffc3
-2,-2,5,0,1,0,1,0,1,-2,3,3,1,10,1,6,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,3,-2,0,0,0,1.0,0,0,0,11,,1,-1,1,0,0,0,0,A26NGLGGFTATVN,0,1,0,-2,-2,2,0,-2,5c1c027815069
-2,-2,4,0,1,0,1,0,2,-2,3,3,1,13,1,2,0,1,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,1,-2,0,0,0,1.0,0,0,0,15,,1,-1,1,0,0,0,0,A1R2N1TZKFPL1T,0,1,0,-2,-2,6,0,-2,5c1c1e0916b9b
-2,1,5,0,-2,0,1,9,0,1,0,0,-2,0,1,2,0,4,4,-2,0,0,0,-2,0,-2,-2,0,3,1.0,-2,,1,0,0,3,-1,11,0,-2,0,,1,-1,-2,0,0,2,0,A3D70ANCSMGX5F,0,-2,0,-2,1,4,0,1,5c1c1dfa338b8
-2,-2,3,0,0,0,1,0,1,-2,2,2,1,9,1,4,0,5,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,4,-2,0,0,0,0.6666666666666666,0,0,0,10,,1,-1,0,0,0,0,0,A1ICWR931J4062,0,1,0,-2,-2,3,0,-2,5c1c0de91fcd0
-2,1,6,0,-2,0,1,15,0,1,0,0,-2,0,1,5,3,1,0,-2,0,0,0,-2,0,-2,-2,0,0,1.0,-2,,1,0,0,0,-1,15,0,-2,0,,1,-1,-2,0,0,3,0,A3FHPIYGA20PBN,0,-2,0,-2,1,4,0,1,5c1c012540134
0,-2,0,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,4,,0,0,3,0,0,3,0,0,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,5,1,0,-2,0,0,0,7,A287N9WYLJ6JZE,0,-2,0,0,-2,0,7,-2,5c1c34ee95358
-2,0,4,0,-2,0,1,10,0,0,0,0,-2,0,1,6,0,5,5,-2,0,0,0,-2,0,-2,-2,0,3,0,-2,,0,0,0,3,-1,12,0,-2,0,,0,-1,-2,0,0,2,0,AS7L3W5BC1PNX,0,-2,0,-2,0,4,0,0,5c1c0154c0c57
-2,1,6,0,-2,0,1,15,0,1,0,0,-2,0,1,5,0,1,0,-2,0,0,0,-2,0,-2,-2,0,3,1.0,-2,,1,0,0,3,-1,18,0,-2,0,,1,-1,-2,0,0,3,0,ADKYBMRKXK815,0,-2,0,-2,1,6,0,1,5c1c47b315019
-2,-2,1,0,-1,0,1,0,0,-2,0,0,-1,0,1,0,0,2,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,-1,0,-2,0,0,0,-1,0,0,-1,0,,0,-1,-1,0,0,0,0,A1EWISW9QX4PZ9,0,-1,0,-2,-2,5,0,-2,5c1c01bb50097
-2,1,1,0,-2,0,1,14,0,1,0,0,-2,0,1,6,0,5,6,-2,0,0,0,-2,0,-2,-2,0,3,1.0,-2,,1,0,0,3,-1,16,0,-2,0,,1,-1,-2,0,0,2,0,A3SP475VX7XGRU,0,-2,0,-2,1,2,0,1,5c1c0ea39e4d1
-2,-2,2,0,1,0,1,0,1,-2,3,3,1,8,1,3,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,5,-2,0,0,0,1.0,0,0,0,9,,1,-1,1,0,0,0,0,A3MQ6CVEYPJ5UJ,0,1,0,-2,-2,4,0,-2,5c1c22ef50ffa
-2,1,5,0,-2,0,1,9,0,0,0,0,-2,0,1,1,0,1,0,-2,0,0,0,-2,0,-2,-2,0,3,0.28571428571428575,-2,,0,0,0,3,-1,11,0,-2,0,,1,-1,-2,0,0,2,0,A20FCMWP43CVIU,0,-2,0,-2,0,5,0,0,5c1c103f66ab2
-2,1,2,0,-2,0,1,9,0,0,0,0,-2,0,1,5,0,5,3,-2,0,0,0,-2,0,-2,-2,0,3,0.28571428571428575,-2,,0,0,0,3,-1,10,0,-2,0,,1,-1,-2,0,0,1,0,A2P7U035C8KE26,0,-2,0,-2,0,1,0,0,5c1c5dd2e43ce
-2,1,1,0,-2,0,1,10,0,0,0,0,-2,0,1,1,3,0,0,-2,0,0,0,-2,0,-2,-2,0,0,0.28571428571428575,-2,,0,0,0,0,-1,9,0,-2,0,,1,-1,-2,0,0,2,0,A2RCYLKY072XXO,0,-2,0,-2,0,5,0,0,5c1c049fafe7c
0,-2,5,0,-2,0,1,0,0,-2,0,0,-2,0,1,3,0,2,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,6,1,1.0,-2,0,0,0,5,ATWAJESPOXKOF,0,-2,0,1,-2,3,5,-2,5c1c025a8f88c
-2,0,0,0,-2,0,1,11,0,0,0,0,-2,0,1,4,0,0,6,-2,0,0,0,-2,0,-2,-2,0,3,0.75,-2,,1,0,0,3,-1,12,0,-2,0,,1,-1,-2,0,0,1,0,A1NCSZCN8EA787,0,-2,0,-2,1,3,0,1,5c1c0bea84c0a
-2,-2,4,0,1,0,1,0,1,-2,3,3,1,6,1,4,0,2,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,2,-2,0,0,0,1.0,0,0,0,7,,1,-1,1,0,0,0,0,A308FEI88TJ8WV,0,1,0,-2,-2,5,0,-2,5c1c16eceb01d
-2,-1,0,0,-2,0,1,0,0,-1,0,0,-2,0,1,4,0,1,4,-2,0,0,0,-2,0,-2,-2,-1,0,-1,-2,,-1,0,0,0,-1,0,0,-2,0,,0,-1,-2,0,0,0,0,A1JG0SJHUXT1FW,0,-2,0,-2,-1,0,0,-1,5c1c01a821293
-2,1,4,0,-2,0,1,17,0,1,0,0,-2,0,1,2,3,1,3,-2,0,0,0,-2,0,-2,-2,0,0,1.0,-2,,1,0,0,0,-1,16,0,-2,0,,1,-1,-2,0,0,2,0,AYJDIMKGMGCF9,0,-2,0,-2,1,5,0,1,5c1c03c8ce644
-2,1,5,0,-2,0,1,16,0,1,0,0,-2,0,1,5,3,4,6,-2,0,0,0,-2,0,-2,-2,0,0,1.0,-2,,1,0,0,0,-1,15,0,-2,0,,1,-1,-2,0,0,2,0,A2OEDX14YO8EFJ,0,-2,0,-2,1,6,0,1,5c1c03f3f1570
-2,-2,3,0,-1,0,1,0,0,-2,0,0,-1,0,1,5,0,1,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,-1,0,-2,0,0,0,-1,0,0,-1,0,,0,-1,-1,0,0,0,0,A10YEJ1XVCGBTM,0,-1,0,-2,-2,6,0,-2,5c1c0ab604130
-2,1,5,0,-2,0,1,8,0,0,0,0,-2,0,1,1,0,1,0,-2,0,0,0,-2,0,-2,-2,0,3,0.28571428571428575,-2,,0,0,0,3,-1,10,0,-2,0,,1,-1,-2,0,0,2,0,APEE4S9XXSMGC,0,-2,0,-2,0,6,0,0,5c1c2cd569b09
-2,-2,5,0,0,0,1,0,3,-2,3,3,0,12,1,5,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,4,-2,0,0,0,0,0,0,0,15,,1,-1,0,0,0,0,0,AAH34PTBV5AX,0,0,0,-2,-2,6,0,-2,5c1c04307a9fb
0,-2,0,0,-2,0,1,0,0,-2,0,0,-2,0,1,6,0,6,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,3,1,1.0,-2,0,0,0,4,A1E77HZO63E334,0,-2,0,1,-2,0,4,-2,5c1c1f2d1942a
0,-2,3,0,-2,0,1,0,0,-2,0,0,-2,0,1,3,0,2,,1,0,3,0,0,3,0,0,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,4,1,0.5,-2,1,0,0,10,A3LDVC8KJ54A7K,0,-2,0,0,-2,4,9,-2,5c1c1feb21acb
-2,-2,1,0,0,0,1,0,0,-2,3,3,1,6,1,3,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,5,-2,0,0,0,0.6666666666666666,0,0,0,6,,1,-1,0,0,0,0,0,AW34JRQ2PDQAV,0,1,0,-2,-2,2,0,-2,5c1c13534cc1f
-2,-2,2,0,0,0,1,0,0,-2,0,0,0,5,1,5,0,5,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,4,-2,0,0,0,0,0,0,0,5,,1,-1,0,0,0,0,0,A1DZMZTXWOM9MR,0,0,0,-2,-2,1,0,-2,5c1c1729375ab
-2,1,1,0,-2,0,1,15,0,1,0,0,-2,0,1,5,0,0,0,-2,0,0,0,-2,0,-2,-2,0,3,1.0,-2,,1,0,0,3,-1,18,0,-2,0,,1,-1,-2,0,0,3,0,A2EI075XZT9Y2S,0,-2,0,-2,1,6,0,1,5c1c0a171e924
-2,-2,6,0,1,0,1,0,0,-2,3,3,1,10,1,6,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,2,-2,0,0,0,1.0,0,0,0,10,,1,-1,1,0,0,0,0,AT6OT5K5Z4V0J,0,1,0,-2,-2,5,0,-2,5c1c2de1453cf
-2,-2,1,0,1,0,1,0,1,-2,3,3,1,16,1,4,0,3,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,4,-2,0,0,0,1.0,0,0,0,17,,1,-1,1,0,0,0,0,A3VZFFM13AP1MF,0,1,0,-2,-2,2,0,-2,5c1c2afe515e3
-2,-2,0,0,1,0,1,0,1,-2,0,0,1,13,1,4,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,3,-2,0,0,0,1.0,0,0,0,14,,1,-1,1,0,0,0,0,A20IA63WXHF683,0,1,0,-2,-2,0,0,-2,5c1c0e9db7b4f
-2,1,2,0,-2,0,1,16,0,1,0,0,-2,0,1,6,0,4,0,-2,0,0,0,-2,0,-2,-2,0,3,1.0,-2,,1,0,0,3,-1,19,0,-2,0,,1,-1,-2,0,0,3,0,A1FYWSPNO7KN1O,0,-2,0,-2,1,5,0,1,5c1c167c6d457
-2,0,1,0,-2,0,1,6,0,0,0,0,-2,0,1,2,0,1,0,-2,0,0,0,-2,0,-2,-2,0,0,0,-2,,0,0,0,0,-1,7,0,-2,0,,1,-1,-2,0,0,1,0,A1L6PGLE7CIS12,0,-2,0,-2,0,5,0,0,5c1c0fb0c5407
-2,1,1,0,-2,0,1,13,0,1,0,0,-2,0,1,5,0,1,1,-2,0,0,0,-2,0,-2,-2,0,3,1.0,-2,,1,0,0,3,-1,15,0,-2,0,,1,-1,-2,0,0,2,0,A214HWAW1PYWO8,0,-2,0,-2,1,4,0,1,5c1c136f25d4b
0,-2,4,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,1,,1,0,0,0,0,0,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,0,1,1.0,-2,1,0,0,7,A3OW5EFQ5QFD19,0,-2,0,1,-2,4,6,-2,5c1c1466d4836
-2,-2,1,0,1,0,1,0,0,-2,0,0,1,12,1,5,0,5,,-2,0,0,3,-2,0,-2,-2,-2,0,-1,0,3,-2,0,0,0,1.0,0,0,0,9,,1,-1,1,0,0,0,0,A3F51C49T9A34D,0,1,0,-2,-2,1,0,-2,5c1c1a5c88369
-2,-2,5,0,1,0,1,0,1,-2,3,3,1,13,1,0,0,0,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,0,-2,0,0,0,1.0,0,0,0,14,,1,-1,1,0,0,0,0,A10OZ97Y3TYL53,0,1,0,-2,-2,4,0,-2,5c1c179ac6712
-1,-2,0,0,-2,0,1,0,0,-2,0,0,-2,0,1,0,0,0,,-1,0,0,0,-1,0,-1,-1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,0,0,-1,-2,0,0,0,0,A1M9V2YS4P0PJY,0,-2,0,-1,-2,6,0,-2,5c1d7d3482ff5
-1,-2,1,0,-2,0,1,0,0,-2,0,0,-2,0,1,4,0,3,,-1,0,0,0,-1,0,-1,-1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,1,0,-1,-2,0,0,0,0,A1JMD1M91WRWGB,0,-2,0,-1,-2,5,0,-2,5c1d7d799010f
-2,0,6,0,-2,0,1,9,0,0,0,0,-2,0,1,2,0,4,2,-2,0,0,0,-2,0,-2,-2,0,0,0.3333333333333333,-2,,1,0,0,0,-1,10,0,-2,0,,1,-1,-2,0,0,1,0,A22PGJTI69X7PQ,0,-2,0,-2,0,6,0,0,5c1d7eb55ad30
-2,-2,3,0,-1,0,1,0,0,-2,0,0,-1,0,1,5,0,3,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,-1,5,-2,0,0,0,-1,0,0,-1,0,,0,-1,-1,0,0,0,0,A1U1PWOUK690TU,0,-1,0,-2,-2,2,0,-2,5c1d8b2e424b6
-2,-2,1,0,1,0,1,0,0,-2,3,3,1,9,1,5,0,5,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,5,-2,0,0,0,1.0,0,0,0,9,,1,-1,1,0,0,0,0,A3AY0315YWWNXY,0,1,0,-2,-2,1,0,-2,5c1dad31a8b5d
-2,1,1,0,-2,0,1,20,0,1,0,0,-2,0,1,6,0,4,6,-2,0,0,0,-2,0,-2,-2,0,2,1.0,-2,,1,0,0,2,-1,21,0,-2,0,,1,-1,-2,0,0,1,0,A1RO1AL8ADJNVL,0,-2,0,-2,1,1,0,1,5c1d7e8609718
-2,0,2,0,-2,0,1,5,0,0,0,0,-2,0,1,1,0,1,2,-2,0,0,0,-2,0,-2,-2,0,0,0,-2,,0,0,0,0,-1,6,0,-2,0,,1,-1,-2,0,0,1,0,A2HYCUPBWBQME,0,-2,0,-2,0,3,0,0,5c1d7e1479e58
-2,-2,6,0,1,0,1,0,1,-2,3,3,1,11,1,5,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,1,-2,0,0,0,1.0,0,0,0,12,,1,-1,1,0,0,0,0,A49HPQ9P5AHU4,0,1,0,-2,-2,5,0,-2,5c1d828754fa6
-1,-2,3,0,-2,0,1,0,0,-2,0,0,-2,0,1,3,0,3,,-1,0,0,0,-1,0,-1,-1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,3,0,-1,-2,0,0,0,0,AWEUAV2UW15NK,0,-2,0,-1,-2,3,0,-2,5c1d7d8722ff6
-2,-2,5,0,1,0,1,0,2,-2,3,3,1,13,1,2,0,1,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,1,-2,0,0,0,1.0,0,0,0,15,,1,-1,1,0,0,0,0,A3C7COPV48I37D,0,1,0,-2,-2,5,0,-2,5c1d7fd937ce5
-2,-2,1,0,1,0,1,0,1,-2,0,0,1,10,1,5,0,5,,-2,0,0,3,-2,0,-2,-2,-2,0,-1,0,5,-2,0,0,0,1.0,0,0,0,8,,1,-1,1,0,0,0,0,A3F51C49T9A34D,0,1,0,-2,-2,1,0,-2,5c1d8d9036668
-2,-2,3,0,1,0,1,0,2,-2,3,3,1,14,1,1,0,1,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,1,-2,0,0,0,1.0,0,0,0,16,,1,-1,1,0,0,0,0,A22CRHYK7SPW8C,0,1,0,-2,-2,4,0,-2,5c1d846ac2a8c
-2,-2,0,0,0,0,1,0,1,-2,0,0,0,5,1,2,0,3,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,4,-2,0,0,0,0,0,0,0,6,,1,-1,0,0,0,0,0,AYCGL8UG3ZVVK,0,0,0,-2,-2,0,0,-2,5c1dbee6bea5d
-2,0,5,0,-2,0,1,5,0,0,0,0,-2,0,1,1,0,1,0,-2,0,0,0,-2,0,-2,-2,0,3,0,-2,,0,0,0,3,-1,6,0,-2,0,,1,-1,-2,0,0,1,0,A2WKZI3JQCE3Z6,0,-2,0,-2,0,5,0,0,5c1d7e75b5c17
-2,1,6,0,-2,0,1,12,0,0,0,0,-2,0,1,6,0,6,0,-2,0,0,0,-2,0,-2,-2,0,2,0.5,-2,,0,0,0,2,-1,12,0,-2,0,,1,-1,-2,0,0,0,0,A3UZW1NTOX6I15,0,-2,0,-2,0,6,0,1,5c1d7f6f2d673
-2,0,6,0,-2,0,1,13,0,0,0,0,-2,0,1,0,2,0,6,-2,0,0,0,-2,0,-2,-2,0,2,0,-2,,0,0,0,2,-1,12,0,-2,0,,1,-1,-2,0,0,1,0,A3PTO0DMF57GDG,0,-2,0,-2,0,6,0,0,5c1d7f08bc4d5
0,-2,6,0,-2,0,1,0,0,-2,0,0,-2,0,1,6,0,2,,1,0,0,0,0,0,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,0,1,1.0,-2,0,0,0,9,AOAQK9URS9KUR,0,-2,0,1,-2,5,9,-2,5c1d9e9009410
-2,1,5,0,-2,0,1,21,0,1,0,0,-2,0,1,4,1,2,1,-2,0,0,0,-2,0,-2,-2,0,2,1.0,-2,,1,0,0,2,-1,21,0,-2,0,,1,-1,-2,0,0,1,0,A1TGV7LT6LTIQU,0,-2,0,-2,1,6,0,1,5c1d9319d3953
-2,-2,2,0,1,0,1,0,1,-2,3,3,1,13,1,1,0,1,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,0,-2,0,0,0,1.0,0,0,0,14,,1,-1,1,0,0,0,0,A3TOI40R1LPLNE,0,1,0,-2,-2,5,0,-2,5c1d7fe3e1a8b
-2,1,4,0,-2,0,1,12,0,0,0,0,-2,0,1,6,0,0,0,-2,0,0,0,-2,0,-2,-2,0,3,0.28571428571428575,-2,,0,0,0,3,-1,13,0,-2,0,,1,-1,-2,0,0,1,0,AR67RZM4TDX5M,0,-2,0,-2,0,3,0,0,5c1d7f387c8bd
0,-2,2,0,-2,0,1,0,0,-2,0,0,-2,0,1,4,0,5,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,2,1,1.0,-2,0,0,0,7,A2VR2EGO53QNQ4,0,-2,0,1,-2,2,7,-2,5c1d7f3ecf10c
0,-2,4,0,-2,0,1,0,0,-2,0,0,-2,0,1,4,0,4,,0,0,3,0,0,3,0,0,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,4,1,0,-2,2,0,0,13,A2MC2SA7FG5IST,0,-2,0,0,-2,2,11,-2,5c1d7e498d6bf
0,-2,6,0,-2,0,1,0,0,-2,0,0,-2,0,1,6,0,6,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,0,1,1.0,-2,0,0,0,4,A38ZV8LBZ034IZ,0,-2,0,1,-2,1,4,-2,5c1d8e01733f9
-2,-2,3,0,-1,0,1,0,0,-2,0,0,-1,0,1,5,0,3,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,-1,5,-2,0,0,0,-1,0,0,-1,0,,0,-1,-1,0,0,0,0,AIEGKVQ47B3FQ,0,-1,0,-2,-2,3,0,-2,5c1d7d3645d82
-2,-2,4,0,-1,0,1,0,0,-2,0,0,-1,0,1,4,0,1,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,-1,0,-2,0,0,0,-1,0,0,-1,0,,0,-1,-1,0,0,0,0,A2SRC38HIJ2X19,0,-1,0,-2,-2,6,0,-2,5c1d7de244a2c
-1,-2,3,0,-2,0,1,0,0,-2,0,0,-2,0,1,3,0,3,,-1,0,0,0,-1,0,-1,-1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,3,0,-1,-2,0,0,0,0,A2LFIC5EJTHDWY,0,-2,0,-1,-2,3,0,-2,5c1d7d8e7cea4
0,-2,4,0,-2,0,1,0,0,-2,0,0,-2,0,1,3,0,4,,1,0,3,0,0,3,0,0,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,3,1,0.5,-2,1,0,0,6,A10AVMDRAU2NN5,0,-2,0,0,-2,2,5,-2,5c1d7df60783d
-2,0,5,0,-2,0,1,10,0,0,0,0,-2,0,1,5,0,1,1,-2,0,0,0,-2,0,-2,-2,0,3,0,-2,,0,0,0,3,-1,11,0,-2,0,,1,-1,-2,0,0,1,0,A3SUPVT5RCULQS,0,-2,0,-2,0,4,0,0,5c1d9a3536ee5
-2,-2,4,0,1,0,1,0,1,-2,3,3,1,11,1,6,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,3,-2,0,0,0,1.0,0,0,0,12,,1,-1,1,0,0,0,0,A37GOI3N77WX21,0,1,0,-2,-2,1,0,-2,5c1d7fd4dc5e3
0,-2,0,0,-2,0,1,0,0,-2,0,0,-2,0,1,2,0,1,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,4,1,1.0,-2,1,0,0,6,A3JKKJ8WMP1O7Z,0,-2,0,1,-2,3,5,-2,5c1d7faaca64d
-2,1,4,0,-2,0,1,12,0,1,0,0,-2,0,1,3,0,2,2,-2,0,0,0,-2,0,-2,-2,0,3,1.0,-2,,1,0,0,3,-1,15,0,-2,0,,1,-1,-2,0,0,3,0,A3HCGNV93TJO7R,0,-2,0,-2,1,4,0,1,5c1d894e2203b
0,-2,2,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,5,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,1,1,1.0,-2,0,0,0,2,A35H05K4OCYQ0S,0,-2,0,1,-2,0,2,-2,5c1d87970c3db
-2,-1,2,0,-2,0,1,0,0,-1,0,0,-2,0,1,0,0,1,1,-2,0,0,0,-2,0,-2,-2,-1,0,-1,-2,,-1,0,0,0,-1,0,0,-2,0,,0,-1,-2,0,0,0,0,A25YRG1KZGX8AB,0,-2,0,-2,-1,2,0,-1,5c1d7fcc744bd
-2,0,5,0,-2,0,1,10,0,0,0,0,-2,0,1,5,0,0,0,-2,0,0,0,-2,0,-2,-2,0,3,0.25,-2,,0,0,0,3,-1,11,0,-2,0,,1,-1,-2,0,0,1,0,A3NMU6AVMQ0QDB,0,-2,0,-2,0,6,0,1,5c1d7e9092559
-1,-2,0,0,-2,0,1,0,0,-2,0,0,-2,0,1,6,0,0,,-1,0,0,0,-1,0,-1,-1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,0,0,-1,-2,0,0,0,0,A3EF8GZ0SK81BS,0,-2,0,-1,-2,3,0,-2,5c1d824214de9
